,Year,Code,ROA,HHI,DF,IBI,CAR,CIR,NPL,GDP
81,2011,600036.SH,1.3902,0.31686648,0.815750861100169,0.183653094886709,0.059034,0.515240700105037,0.56,0.0947
82,2012,600036.SH,1.4597,0.33342008,1.11788591050047,0.195464073653397,0.05878,0.478622526837616,0.61,0.0787
83,2013,600036.SH,1.3938,0.37015392,4.20774927988977,0.248480911373953,0.066095,0.487866127718621,0.83,0.0777
84,2014,600036.SH,1.2814,0.43132782,6.80497963895145,0.308315231889029,0.066444,0.561270446091051,1.11,0.0741
85,2015,600036.SH,1.1368,0.42715637195,9.55254980020011,0.30144102138845,0.065901,0.631470534220806,1.68,0.0703
86,2016,600036.SH,1.0927,0.449019923328,18.056947877686,0.334241483559611,0.067709,0.628188015787585,1.87,0.0687
87,2017,600036.SH,1.1542,0.4345793208,24.5965233314459,0.337530659147531,0.076252,0.590125714699611,1.61,0.0695
88,2018,600036.SH,1.2392,0.444673984632,28.2400908782431,0.312229108783928,0.080068,0.5710888938062,1.36,0.0672
89,2019,600036.SH,1.3193,0.445672690808,30.4830368169292,0.314310935095609,0.082416,0.566015209322848,1.16,0.0582
90,2010,601166.SH,1.1641,0.217605838712,0.578480509894131,0.120689977512073,0.049736,0.45009205882468,0.42,0.1082
91,2011,601166.SH,1.2022,0.249151305182,0.946530178122034,0.160917183522135,0.047828,0.439919826290296,0.38,0.0947
92,2012,601166.SH,1.2342,0.274776154142,1.17195610547605,0.185183873024871,0.052162,0.47422362729545,0.43,0.0787
93,2013,601166.SH,1.1983,0.321217135488,4.59559448365505,0.234842874774518,0.054323,0.505174448928052,0.76,0.0777
94,2014,601166.SH,1.1759,0.3459208928,7.3005079521123,0.236136968085106,0.058536,0.518086758795177,1.1,0.0741
95,2015,601166.SH,1.0438,0.329942379182,9.85799027809899,0.226808996198694,0.059191,0.593062430352191,1.46,0.0703
96,2016,601166.SH,0.9544,0.404267122688,17.6124393392627,0.258231194424417,0.057531,0.596447217623838,1.65,0.0687
97,2017,601166.SH,0.9236,0.461119665632,24.1396001335236,0.319409927266924,0.064969,0.53696731559207,1.59,0.0695
98,2018,601166.SH,0.933,0.4747189902,28.383452849274,0.317999378353176,0.069424,0.570943918325573,1.57,0.0672
99,2019,601166.SH,0.9627,0.492908309582,31.6414908530062,0.318436848761199,0.07576,0.590387627683279,1.54,0.0582
100,2010,601818.SH,0.9542,0.24469485755,0.721048552848816,0.1433748304424,0.05483,0.522059814821226,0.75,0.1082
101,2011,601818.SH,1.1242,0.2450734392,1.31537500302882,0.161556882793623,0.055404,0.475888137296503,0.64,0.0947
102,2012,601818.SH,1.1773,0.268570102878,1.67156949846334,0.168337010897943,0.050094,0.474080379197543,0.74,0.0787
103,2013,601818.SH,1.1398,0.343068932622,6.99768041386518,0.244156326966866,0.063285,0.475009953143662,0.86,0.0777
104,2014,601818.SH,1.123,0.3813960192,11.7646628985645,0.263107095977145,0.065391,0.510817384217698,1.19,0.0741
105,2015,601818.SH,1.0018,0.406065750078,16.5103497479252,0.301608870529405,0.070553,0.578784658487103,1.61,0.0703
106,2016,601818.SH,0.8455,0.420832224302,26.691263424611,0.323862283871805,0.062302,0.575305464870211,1.6,0.0687
107,2017,601818.SH,0.7797,0.445907132472,37.8891372161586,0.364780082620894,0.074545,0.558181818181818,1.59,0.0695
